trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,6,-143.9645140139838,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-78.06859109257398,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-157.0471312251872,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-35.0405118305699,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-112.17966378345591,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-30.332850042096965,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-183.8355354648256,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,2,-24.533647009649215,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-110.1215703360762,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-224.59900937637505,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-37.57611087681774,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-88.00025263027788,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-85.14635959491876,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-102.79577209468881,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-76.07156692801539,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-71.7703930689924,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,20,7.525321589966465,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,18.782478878607343,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,37.6459599259002,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,13.479258946888116,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",20,0,15.201891503838665,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",30,15,11.279453685768853,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,6,-2.8599277364931677,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",25,0,12.627444466318853,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,0,28.2347810282621,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",20,0,-40.53542751712379,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",25,11,12.039034957696192,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",20,0,-61.59603934230066,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",30,0,-47.35015452529241,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",30,16,-18.36986609361854,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
