trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.35, 'e': 0.999}",20,10,-11.414068747506638,"{0: 6, 1: 4, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.35, 'e': 0.998}",20,0,-92.13777545526115,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.35, 'e': 0.997}",20,0,-50.476736451171064,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.35, 'e': 0.996}",20,0,-65.13641820115991,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.35, 'e': 0.995}",20,0,-188.63549804363373,"{0: 11, 1: 1, 2: 2, 3: 3, 4: 3}",0
6,False,"{'a': 0.35, 'e': 0.994}",25,0,-165.7711141229114,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.35, 'e': 0.993}",35,0,-135.09719678782645,"{0: 21, 1: 6, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.35, 'e': 0.992}",20,0,-136.93143726065927,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.35, 'e': 0.991}",20,0,-180.56329584323865,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
10,False,"{'a': 0.35, 'e': 0.99}",30,0,-173.2072615514645,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.35, 'e': 0.989}",25,0,-78.6067664834838,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
12,False,"{'a': 0.35, 'e': 0.988}",25,0,-88.74810647310117,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.35, 'e': 0.987}",25,0,-199.4051859603586,"{0: 12, 1: 5, 2: 3, 3: 2, 4: 3}",0
14,False,"{'a': 0.35, 'e': 0.986}",35,7,-153.7443324321185,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 2}",1
15,False,"{'a': 0.35, 'e': 0.985}",30,0,-184.29442941645385,"{0: 15, 1: 1, 2: 12, 3: 0, 4: 2}",0
16,False,"{'a': 0.35, 'e': 0.984}",25,0,-163.91687784406815,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
17,False,"{'a': 0.35, 'e': 0.983}",20,0,-61.77158805318909,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.35, 'e': 0.982}",20,0,-106.32016817395863,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.35, 'e': 0.981}",35,0,-87.45744706545796,"{0: 23, 1: 6, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.35, 'e': 0.98}",20,0,-159.27560607839393,"{0: 6, 1: 4, 2: 7, 3: 2, 4: 1}",0
21,False,"{'a': 0.35, 'e': 0.979}",30,21,-16.50976759889081,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.35, 'e': 0.978}",20,0,-99.41590502667792,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
