trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.80353389027874,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.24325011297492,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.7350298541049,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.47902326889064,"{0: 7, 1: 7, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.71857447409295,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,11,-69.0998211914291,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,6,-50.56576670893462,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.49221933340654,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.93484730350357,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-70.22869058212251,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.63524924564818,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.49583850013315,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.6949248749544,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-241.6002727256002,"{0: 15, 1: 4, 2: 6, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.00180090319074,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.45508979560611,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.7747958197008,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.68848424003646,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.48844675905977,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.00692561710468,"{0: 12, 1: 4, 2: 7, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-6.382134991176903,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.20209529316126,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-143.66724222778024,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,13,-22.579257221936825,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.10323265624876,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,14,-11.432767784635757,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-15.077616991432388,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-103.35864097634033,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-11.26890125561534,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-96.91546264396406,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
